table_id,metric_name,value
T6,m4_fep2_q2_p1_60,-1.0092561396871764
T6,m4_fep2_q3_p1_60,-0.33268382155463505
T6,m4_fep2_q4_p1_60,0.021384021552921316
T6,m4_fep2_q5_p1_60,0.0272157933323917
T6,m4_fep3_q1_m1_0,-0.880828977886467
T6,m4_fep3_q2_m1_0,-0.7003326855615745
T6,m4_fep3_q3_m1_0,-0.4695907406205448
T6,m4_fep3_q4_m1_0,-0.4248646808880968
T6,m4_fep3_q5_m1_0,-0.2509909778770596
T6,m4_fep3_q1_m60_0,-14.317948311751108
T6,m4_fep3_q2_m60_0,-10.509487402512597
T6,m4_fep3_q3_m60_0,-9.162427191953517
T6,m4_fep3_q4_m60_0,-8.04640409446637
T6,m4_fep3_q5_m60_0,-6.792774343069839
T6,m4_fep3_q1_p1_60,0.5784227755527146
T6,m4_fep3_q2_p1_60,0.1779625182267733
T6,m4_fep3_q3_p1_60,-0.34806972273136044
T6,m4_fep3_q4_p1_60,0.12456547452044463
T6,m4_fep3_q5_p1_60,-0.3582577792229714
T6,m4_fep4_q1_m1_0,-0.5127859110072608
T6,m4_fep4_q2_m1_0,-0.2316361247854849
T6,m4_fep4_q3_m1_0,-0.12645132134256792
T6,m4_fep4_q4_m1_0,-0.06813763932050398
T6,m4_fep4_q5_m1_0,-0.027258446145155157
T6,m4_fep4_q1_m60_0,-9.2287949486824
T6,m4_fep4_q2_m60_0,-6.540615959830755
T6,m4_fep4_q3_m60_0,-5.5258870279330425
T6,m4_fep4_q4_m60_0,-4.9006316491328885
T6,m4_fep4_q5_m60_0,-4.1122887034000914
T6,m4_fep4_q1_p1_60,0.6353532570218607
T6,m4_fep4_q2_p1_60,-0.7039755658214161
T6,m4_fep4_q3_p1_60,-0.707242560438516
T6,m4_fep4_q4_p1_60,-0.19547652482729017
T6,m4_fep4_q5_p1_60,0.157465683914085
T6,m4_fep5_q1_m1_0,0.1374446897393833
T6,m4_fep5_q2_m1_0,0.1850402089435428
T6,m4_fep5_q3_m1_0,0.20853047532949395
T6,m4_fep5_q4_m1_0,0.11354264754748195
T6,m4_fep5_q5_m1_0,-0.05640551699350086
T6,m4_fep5_q1_m60_0,-3.99067722865392
T6,m4_fep5_q2_m60_0,-2.591630879624398
T6,m4_fep5_q3_m60_0,-2.4089764380765275
T6,m4_fep5_q4_m60_0,-2.0387896341853113
T6,m4_fep5_q5_m60_0,-1.6148439263031407
T6,m4_fep5_q1_p1_60,1.1921935325362814
T6,m4_fep5_q2_p1_60,-0.7887394621589423
T6,m4_fep5_q3_p1_60,-1.1063136358026966
T6,m4_fep5_q4_p1_60,-0.6353939050045775
T6,m4_fep5_q5_p1_60,0.04943764922976894
T6,m4_fep6_q1_m1_0,0.6996606983790064
T6,m4_fep6_q2_m1_0,0.5160381767294318
T6,m4_fep6_q3_m1_0,0.3183090678438194
T6,m4_fep6_q4_m1_0,0.05237315528545909
T6,m4_fep6_q5_m1_0,0.08101125948974172
T6,m4_fep6_q1_m60_0,1.5376263594179678
T6,m4_fep6_q2_m60_0,1.0224533753526341
T6,m4_fep6_q3_m60_0,0.9081932967502706
T6,m4_fep6_q4_m60_0,0.8062778811592474
T6,m4_fep6_q5_m60_0,0.7154823980281256
T6,m4_fep6_q1_p1_60,0.5462179084606582
T6,m4_fep6_q2_p1_60,0.03490863457176691
T6,m4_fep6_q3_p1_60,-0.39908184998247337
T6,m4_fep6_q4_p1_60,0.13665594216511145
T6,m4_fep6_q5_p1_60,-0.7143770255994327
T6,m4_fep7_q1_m1_0,1.310498305535906
T6,m4_fep7_q2_m1_0,0.6393338770136887
T6,m4_fep7_q3_m1_0,0.2747633054679011
T6,m4_fep7_q4_m1_0,0.32662628843597685
T6,m4_fep7_q5_m1_0,0.1924325991779837
T6,m4_fep7_q1_m60_0,7.343860639044938
T6,m4_fep7_q2_m60_0,4.8659109837631265
T6,m4_fep7_q3_m60_0,4.3244244117100195
T6,m4_fep7_q4_m60_0,3.7885883681968284
T6,m4_fep7_q5_m60_0,3.1178144247430684
T6,m4_fep7_q1_p1_60,-0.6346854105414762
T6,m4_fep7_q2_p1_60,-0.6249832476315326
T6,m4_fep7_q3_p1_60,-1.2226749096566787
T6,m4_fep7_q4_p1_60,-1.5566840183651436
T6,m4_fep7_q5_p1_60,-0.8251416677684404
T6,m4_fep8_q1_m1_0,1.906108802171343
T6,m4_fep8_q2_m1_0,0.7696357578594389
T6,m4_fep8_q3_m1_0,0.7791138920796354
T6,m4_fep8_q4_m1_0,0.6790911925614831
T6,m4_fep8_q5_m1_0,0.2882908555430643
T6,m4_fep8_q1_m60_0,13.76481693705191
